Data,Sec1,Main
1996-12-01,263.50000000000006,249.3
1997-01-01,218.0,286.5
1997-02-01,348.8,279.5
1997-03-01,95.6,81.10000000000002
1997-04-01,96.7,81.8
1997-05-01,169.3,133.0
1997-06-01,225.6,182.9
1997-07-01,99.9,72.4
1997-08-01,278.5,214.4
1997-09-01,202.00000000000003,140.4
1997-10-01,453.8,310.9000000000001
1997-11-01,329.3,328.1
1997-12-01,166.50000000000003,178.1
1998-01-01,242.90000000000003,259.1
1998-02-01,180.49999999999997,161.90000000000003
1998-03-01,325.5,276.29999999999995
1998-04-01,462.8,383.00000000000006
1998-05-01,105.8,40.4
1998-06-01,81.6,54.8
1998-07-01,162.79999999999995,141.2
1998-08-01,359.1,311.10000000000014
1998-09-01,312.2999999999999,324.5
1998-10-01,315.5,275.3
1998-11-01,63.49999999999999,32.6
1998-12-01,228.6,187.2
1999-01-01,189.5,170.6
1999-02-01,191.1,218.8
1999-03-01,79.4,77.0
1999-04-01,161.5,156.69999999999996
1999-05-01,94.5,93.6
1999-06-01,200.00000000000003,147.6
1999-07-01,184.2,175.2
1999-08-01,5.800000000000002,9.9
1999-09-01,122.8,153.4
1999-10-01,319.99999999999994,332.7000000000001
1999-11-01,80.8,42.20000000000001
1999-12-01,152.9,91.89999999999998
2000-01-01,191.1,121.19999999999996
2000-02-01,198.2,186.40000000000003
2000-03-01,85.80000000000003,163.20000000000005
2000-04-01,93.5,47.3
2000-05-01,135.1,97.5
2000-06-01,118.90000000000002,113.7
2000-07-01,134.7,113.8
2000-08-01,88.4,81.9
2000-09-01,386.0,333.0
2000-10-01,231.4,206.6
2000-11-01,152.1,111.5
2000-12-01,186.1,135.0
2001-01-01,320.4,184.6
2001-02-01,337.4,450.6
2001-03-01,180.79999999999995,118.59999999999997
2001-04-01,140.09999999999997,98.6
2001-05-01,151.5,137.49999999999997
2001-06-01,169.20000000000005,76.49999999999999
2001-07-01,158.2,70.10000000000001
2001-08-01,118.6,331.7999999999999
2001-09-01,130.7,110.9
2001-11-01,130.9,129.6
2001-12-01,151.20000000000005,225.20000000000005
2002-01-01,162.60000000000005,161.9
2002-09-01,240.7,152.99999999999997
2002-10-01,263.70000000000005,56.7
2002-11-01,259.5,194.1
2002-12-01,146.8,123.29999999999997
2003-01-01,56.1,303.99999999999994
2003-02-01,213.2,66.1
2003-03-01,152.0,171.8
2003-04-01,87.1,276.5
2003-05-01,52.4,243.89999999999995
2003-06-01,205.3,223.1
2003-08-01,40.6,35.99999999999999
2003-09-01,84.9,109.9
2003-10-01,102.7,55.89999999999999
2003-11-01,286.99999999999994,210.4
2003-12-01,439.7,42.40000000000001
2004-01-01,142.6,61.8
2005-02-01,34.99999999999999,26.1
2005-03-01,70.2,65.8
2005-04-01,173.20000000000005,109.5
2005-05-01,267.2,139.5
2005-06-01,166.0,256.5
2005-07-01,121.2,52.3
2005-08-01,132.1,85.4
2005-09-01,310.3,80.5
2005-10-01,512.1,53.5
2005-11-01,107.0,168.9
2005-12-01,78.0,82.1
2006-01-01,203.4,133.0
2006-02-01,123.4,28.3
2006-03-01,179.5,49.2
2006-04-01,51.3,283.5
2006-05-01,6.1,157.9
2006-06-01,33.2,61.7
2006-07-01,45.8,99.3
2006-08-01,96.4,35.5
2006-09-01,175.20000000000005,93.0
2006-10-01,98.9,118.0
2006-11-01,199.9,232.4
2006-12-01,221.3,207.1
2007-01-01,151.6,218.9
2007-02-01,145.20000000000005,87.6
2007-03-01,129.1,319.99999999999994
2007-04-01,346.4000000000001,387.9
2007-05-01,281.5,62.7
2007-06-01,21.4,30.4
2007-07-01,120.9,168.0
2007-08-01,12.7,72.0
